director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Adam Randall,Jorge Lendeborg Jr.,Debby Ryan,Lucy Fry,Horror Thriller Action,night teeth,Jorge Lendeborg Jr. Debby Ryan Lucy Fry Adam Randall Horror Thriller Action
Denis Villeneuve,Timothee Chalamet,Rebecca Ferguson,Oscar Isaac,Science Fiction Adventure,dune,Timothee Chalamet Rebecca Ferguson Oscar Isaac Denis Villeneuve Science Fiction Adventure
"Sarah Smith, Jean-Philippe Vine",Zach Galifianakis,Jack Dylan Grazer,Ed Helms,Animation Science Fiction Family Comedy,ron's gone wrong,"Zach Galifianakis Jack Dylan Grazer Ed Helms Sarah Smith, Jean-Philippe Vine Animation Science Fiction Family Comedy"
Wes Anderson,Owen Wilson,Benicio del Toro,Tony Revolori,Drama Comedy,the french dispatch,Owen Wilson Benicio del Toro Tony Revolori Wes Anderson Drama Comedy
Jeymes Samuel,Jonathan Majors,Idris Elba,Zazie Beetz,Western,the harder they fall,Jonathan Majors Idris Elba Zazie Beetz Jeymes Samuel Western
Will Sharpe,Benedict Cumberbatch,Claire Foy,Andrea Riseborough,Drama History Comedy,the electrical life of louis wain,Benedict Cumberbatch Claire Foy Andrea Riseborough Will Sharpe Drama History Comedy
Agata Alexander,Alex Pettyfer,Alice Eve,Annabelle Wallis,Science Fiction,warning,Alex Pettyfer Alice Eve Annabelle Wallis Agata Alexander Science Fiction
Rebecca Hall,Tessa Thompson,Ruth Negga,André Holland,Drama,passing,Tessa Thompson Ruth Negga André Holland Rebecca Hall Drama
"Matt Angel, Suzanne Coote",Kate Siegel,Jason O'Mara,Dulé Hill,Mystery Thriller Action Science Fiction,hypnotic,"Kate Siegel Jason O'Mara Dulé Hill Matt Angel, Suzanne Coote Mystery Thriller Action Science Fiction"
Scott Cooper,Keri Russell,Jesse Plemons,Jeremy T. Thomas,Drama Horror Mystery,antlers,Keri Russell Jesse Plemons Jeremy T. Thomas Scott Cooper Drama Horror Mystery
Matthias Schweighöfer,Matthias Schweighöfer,Nathalie Emmanuel,Ruby O. Fee,Action Thriller Crime Comedy,army of thieves,Matthias Schweighöfer Nathalie Emmanuel Ruby O. Fee Matthias Schweighöfer Action Thriller Crime Comedy
Amy Koppelman,Amanda Seyfried,Finn Wittrock,Jennifer Carpenter,Drama,a mouthful of air,Amanda Seyfried Finn Wittrock Jennifer Carpenter Amy Koppelman Drama
Joanna Hogg,Honor Swinton Byrne,Jaygann Ayeh,Richard Ayoade,Drama,the souvenir part ii,Honor Swinton Byrne Jaygann Ayeh Richard Ayoade Joanna Hogg Drama
William Eubank,Emily Bader,Roland Buck III,Dan Lippert,Horror Mystery,paranormal activity: next of kin,Emily Bader Roland Buck III Dan Lippert William Eubank Horror Mystery
"Philip Gelatt, Morgan Galen King",Richard E. Grant,Lucy Lawless,Patton Oswalt,Animation Fantasy Action Horror,the spine of night,"Richard E. Grant Lucy Lawless Patton Oswalt Philip Gelatt, Morgan Galen King Animation Fantasy Action Horror"
Justine Bateman,Olivia Munn,Luke Bracey,Justin Theroux,Drama,violet,Olivia Munn Luke Bracey Justin Theroux Justine Bateman Drama
Michael Mailer,Michael Shannon,Alexander Ludwig,Charles Melton,Drama,heart of champions,Michael Shannon Alexander Ludwig Charles Melton Michael Mailer Drama
Chloé Zhao,Gemma Chan,Richard Madden,Kumail Nanjiani,Science Fiction Action Adventure,eternals,Gemma Chan Richard Madden Kumail Nanjiani Chloé Zhao Science Fiction Action Adventure
Rawson Marshall Thurber,Dwayne Johnson,Ryan Reynolds,Gal Gadot,Action Comedy Crime,red notice,Dwayne Johnson Ryan Reynolds Gal Gadot Rawson Marshall Thurber Action Comedy Crime
Miguel Sapochnik,Tom Hanks,Caleb Landry Jones,unknown,Science Fiction Drama Adventure,finch,Tom Hanks Caleb Landry Jones unknown Miguel Sapochnik Science Fiction Drama Adventure
Pablo Larraín,Kristen Stewart,Timothy Spall,Jack Farthing,Drama History,spencer,Kristen Stewart Timothy Spall Jack Farthing Pablo Larraín Drama History
David Hackl,Mel Gibson,Scott Eastwood,Tyrese Gibson,Action Thriller,dangerous,Mel Gibson Scott Eastwood Tyrese Gibson David Hackl Action Thriller
Hernán Jiménez,Nina Dobrev,Jimmy O. Yang,Darren Barnet,Comedy Romance,love hard,Nina Dobrev Jimmy O. Yang Darren Barnet Hernán Jiménez Comedy Romance
"Jim Cummings, PJ McCabe (directors/screenplay); Jim Cummings, Virginia Newcomb, PJ McCabe, Jessie Barr",Jim Cummings,Virginia Newcomb,PJ McCabe,Thriller Horror Comedy,the beta test,"Jim Cummings Virginia Newcomb PJ McCabe Jim Cummings, PJ McCabe (directors/screenplay); Jim Cummings, Virginia Newcomb, PJ McCabe, Jessie Barr Thriller Horror Comedy"
Walt Becker,Jack Whitehall,Darby Camp,Tony Hale,Family Adventure Comedy Fantasy Animation,clifford the big red dog,Jack Whitehall Darby Camp Tony Hale Walt Becker Family Adventure Comedy Fantasy Animation
Lin-Manuel Miranda,Andrew Garfield,Alexandra Shipp,Robin de Jesús,Drama Music,"tick, tick... boom!",Andrew Garfield Alexandra Shipp Robin de Jesús Lin-Manuel Miranda Drama Music
Dan Mazer,Ellie Kemper,Rob Delaney,Archie Yates,Comedy Crime Family,home sweet home alone,Ellie Kemper Rob Delaney Archie Yates Dan Mazer Comedy Crime Family
Edward John Drake,Neal McDonough,Bruce Willis,unknown,Action Thriller Science Fiction,apex,Neal McDonough Bruce Willis unknown Edward John Drake Action Thriller Science Fiction
Jane Campion,Benedict Cumberbatch,Kirsten Dunst,Jesse Plemons,Drama Western,the power of the dog,Benedict Cumberbatch Kirsten Dunst Jesse Plemons Jane Campion Drama Western
Halle Berry,Halle Berry,Shamier Anderson,Adan Canto,Drama,bruised,Halle Berry Shamier Anderson Adan Canto Halle Berry Drama
Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,Romance Comedy,the princess switch 3: romancing the star,Vanessa Hudgens Sam Palladio Nick Sagar Michael Rohl Romance Comedy
Jason Reitman,Carrie Coon,Finn Wolfhard,Mckenna Grace,Fantasy Comedy Adventure Science Fiction,ghostbusters: afterlife,Carrie Coon Finn Wolfhard Mckenna Grace Jason Reitman Fantasy Comedy Adventure Science Fiction
Reinaldo Marcus Green,Will Smith,Aunjanue Ellis,Saniyya Sidney,Drama History,king richard,Will Smith Aunjanue Ellis Saniyya Sidney Reinaldo Marcus Green Drama History
"David Silverman, Raymond S. Persi",Adam DeVine,Rachel Bloom,Zazie Beetz,Animation Comedy Family Adventure,extinct,"Adam DeVine Rachel Bloom Zazie Beetz David Silverman, Raymond S. Persi Animation Comedy Family Adventure"
Mike Mills,Joaquin Phoenix,Gaby Hoffmann,Woody Norman,Drama,c'mon c'mon,Joaquin Phoenix Gaby Hoffmann Woody Norman Mike Mills Drama
Casey Tebo,Devon Sawa,Ivana Baquero,Ryan Lee,Horror Comedy Science Fiction,black friday,Devon Sawa Ivana Baquero Ryan Lee Casey Tebo Horror Comedy Science Fiction
